City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Barra Do Corda,BR,83.01,broken clouds,-5.5,-45.25,Belchior Palace Hotel
407,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
409,Bagua Grande,PE,84.79,light rain,-5.7561,-78.4411,HOTELNIEVA
410,Ibi,ES,67.33,overcast clouds,38.6253,-0.5723,Hotel Plata
413,Nawabganj,BD,83.12,clear sky,24.5911,88.271,দা সফ্‌ট আইটি
416,Sawakin,SD,82.69,clear sky,19.1059,37.3321,فندق الدويم
418,Abancay,PE,70.45,overcast clouds,-13.6339,-72.8814,Siball Hotel
420,Khash,IR,77.25,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
423,Cuamba,MZ,69.1,scattered clouds,-14.8031,36.5372,Hotel Vision
425,Ler,SS,92.93,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
426,Banes,CU,86.5,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
428,Santa Isabel,BR,85.3,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
429,Dwarka,IN,81.43,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
433,Porto Seguro,BR,84.72,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
434,Santa Fe,AR,86.0,clear sky,-31.6333,-60.7,Conquistador Hotel
437,Pindi Gheb,PK,84.72,clear sky,33.2402,72.2661,Mohallah Masjid Ghulam shah
441,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
445,Dilla,ET,72.18,broken clouds,6.41,38.31,Afomiya Pension
446,Pokaran,IN,86.81,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
451,Atar,MR,97.14,clear sky,20.5169,-13.0499,Oumou Elghoura
453,Padang,ID,78.66,overcast clouds,-0.9492,100.3543,Mercure Padang
454,Bahadurgarh,IN,96.35,clear sky,28.6833,76.9167,EMM KAY RESIDENCY
456,Conceicao Da Barra,BR,84.13,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
457,Kodoli,IN,79.05,overcast clouds,16.8833,74.2,Hotel Varekar
460,Tiruttani,IN,81.01,overcast clouds,13.177,79.6128,Karthikeyan Cottages
462,Mitsamiouli,KM,83.16,overcast clouds,-11.3847,43.2844,Foyer ADM
463,Bani,DO,83.64,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
464,Tocopilla,CL,70.7,clear sky,-22.092,-70.1979,Hotel Galvarino
466,Tuytepa,UZ,73.74,overcast clouds,41.0321,69.3625,Avalon Hotel & Park
470,Rayachoti,IN,81.19,overcast clouds,14.05,78.75,Swetha lodge
471,Axim,GH,83.5,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
473,Tomsani,RO,67.78,scattered clouds,44.95,26.2833,Matei
474,Chatrapur,IN,80.11,scattered clouds,19.35,84.9833,Circuit House
476,Buchanan,LR,84.87,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
477,Banapur,IN,81.0,few clouds,19.7833,85.1833,Digantika hotel
478,Sur,OM,89.01,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
479,Acarau,BR,80.31,broken clouds,-2.8856,-40.12,castelo pizzaria
482,Laguna,US,66.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
483,Yambio,SS,83.71,overcast clouds,4.5721,28.3955,Naivasha Hotel
488,Mutis,CO,82.69,light rain,6.2262,-77.4044,Paraiso Escondido
489,Tonantins,BR,85.91,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
490,Carutapera,BR,75.24,moderate rain,-1.195,-46.02,Lidera
491,Rocha,UY,81.36,few clouds,-34.4833,-54.3333,Hotel Arrarte
492,Harper,LR,84.45,overcast clouds,4.375,-7.7169,Screensaver
493,Kankon,IN,82.54,overcast clouds,15.0167,74.0167,Palolem Beach Resort
496,Jacobina,BR,92.34,clear sky,-11.1806,-40.5183,HOSTEL JACOBINA
497,Ilam,NP,65.82,few clouds,26.9167,87.9167,चियाबारी कटेज
502,Kulhudhuffushi,MV,85.17,overcast clouds,6.6221,73.07,Haajy Guest House 1
503,Hobyo,SO,82.4,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
510,Meulaboh,ID,78.49,light rain,4.1363,96.1285,Kost Pria
511,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
513,Nacala,MZ,75.99,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
515,Bosaso,SO,81.55,overcast clouds,11.2842,49.1816,Red Sea Hotel
516,Mana,GF,80.58,overcast clouds,5.6592,-53.7767,LE SAMANA
519,Uvinza,TZ,70.07,overcast clouds,-5.1036,30.3911,Crown Lodge and lounge
523,Puerto Ayacucho,VE,90.77,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
524,Mbale,UG,75.9,broken clouds,1.0821,34.175,Wash And Wills Hotel
525,Ambovombe,MG,74.55,scattered clouds,-25.1667,46.0833,RELAHARA
526,Marawi,PH,66.36,overcast clouds,7.9986,124.2928,Derogongan Residence
527,Carmen,MX,76.66,overcast clouds,18.6333,-91.8333,Hotel Lossandes
528,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
530,Banda Aceh,ID,80.22,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
531,Kara,TG,93.25,broken clouds,9.5511,1.1861,Hotel Ma Vision B2K
532,Quelimane,MZ,80.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
533,Maturin,VE,95.59,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
536,Warangal,IN,86.92,broken clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
538,Rio Grande,BR,84.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
539,Utete,TZ,77.32,few clouds,-7.986,38.758,River View Lodge
542,Garowe,SO,80.38,broken clouds,8.4054,48.4845,Curubo Hotel
547,Sabzevar,IR,76.28,dust,36.2126,57.6819,پزشکی قانونی سبزوار
548,Kollam,IN,77.61,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
549,Cocobeach,GA,77.27,overcast clouds,1.0002,9.5823,Hotel Esperance
551,Conceicao Do Araguaia,BR,90.05,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
553,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
556,Denia,ES,75.79,broken clouds,38.8408,0.1057,Hotel Port Dénia
559,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
